release,date,tag
134,2025-01-07,FIREFOX_134_0_RELEASE
122,2024-01-23,FIREFOX_122_0_RELEASE
109,2023-01-17,FIREFOX_109_0_RELEASE
96,2022-01-11,FIREFOX_96_0_RELEASE
85,2021-01-26,FIREFOX_85_0_RELEASE
72,2020-01-07,FIREFOX_72_0_RELEASE
65,2019-10-29,FIREFOX_65_0_RELEASE
58,2018-01-23,FIREFOX_58_0_RELEASE
51,2017-01-24,FIREFOX_51_0_RELEASE
44,2016-01-26,FIREFOX_RELEASE_44_BASE
35,2015-01-13,FIREFOX_RELEASE_35_BASE
27,2014-02-04,FIREFOX_AURORA_27_BASE
18,2013-01-08,FIREFOX_AURORA_18_BASE
10,2012-01-31
3.5.17,2011-03-01
3.0.17,2010-01-05
3.0.6,2009-02-03
2.0.0.12,2008-02-07
1.5.0.11,2007-02-23
1.5.0.1,2006-02-01
1.0.1,2005-02-24
